X,Y
numeric,numeric
-3.650,-4.658
9.690,-6.107
-21.986,-17.271
-8.694,-2.220
-15.536,-25.608
-17.930,-18.062
-13.799,-20.905
-6.793,-6.039
-4.540,-13.687
1.707,12.891
-3.554,-6.238
8.146,1.149
-12.999,-16.715
16.630,24.951
-20.787,-19.059
7.498,2.247
-3.637,-15.635
2.581,13.129
-15.817,-35.111
-13.278,-18.149
13.227,19.546
20.595,17.905
-8.206,-5.560
8.459,-5.969
16.554,23.735
17.356,20.868
-18.251,-24.191
-20.273,-14.079
-14.522,-26.776
16.632,30.469
-17.666,-28.683
-3.470,-15.978
20.139,11.704
1.459,5.589
8.439,2.774
-8.114,6.207
8.203,-0.651
14.718,32.043
-21.187,-7.821
11.002,1.112
21.501,18.767
10.915,-4.393
-9.657,-0.211
12.723,12.046
-17.451,-21.965
-2.292,-6.897
17.971,25.672
-9.077,1.868
-9.334,-7.007
-16.272,-26.528
